sku_id,sku_name,category,unit_cost_usd,lead_time_days,supplier_id,unit_weight_lbs,shelf_life_days,reorder_point,min_order_qty,segment,active
SKU001,Heavy Duty Valve XL,Packaging,564.94,33.0,SUP022,160.54,730.0,365,25,STANDARD,Y
sku_002,Standard Pump V2,Cold Chain,1426.32,39.0,SUP004,21.13,365.0,290,50,STANDARD,YES
Sku-003,Heavy Duty Unit Type-B,Pharma Consumables,1099.33,32.0,SUP016,40.49,180.0,277,50,STANDARD,Y
SKU 004,Pro-Grade Kit Type-A,Raw Materials,899.99,26.0,SUP023,224.65,365.0,373,100,STANDARD,Y
SKU-005,Heavy Duty Bearing V3,Pharma Consumables,238.25,41.0,SUP030,151.65,730.0,66,10,STANDARD,Y
SKU006,Standard Unit Type-A,Pharma Consumables,238.21,10.0,SUP015,2.4,90.0,88,50,PREMIUM,Y
sku_007,Pro-Grade Pump Plus,Finished Goods,91.84,13.0,SUP003,25.46,,372,100,STANDARD,Y
Sku-008,Standard Assembly XL,Electronics,1299.93,9.0,SUP029,165.91,,221,5,STANDARD,Y
SKU 009,Heavy Duty Filter Plus,Packaging,903.67,22.0,SUP003,1.36,180.0,346,10,STANDARD,1
SKU-010,Premium Sensor V2,Industrial Equipment,1063.57,27.0,SUP011,40.29,365.0,401,50,PREMIUM,Y
SKU011,Standard Module Type-B,Industrial Equipment,35.77,15.0,SUP020,137.23,,191,1,BUDGET,Y
sku_012,Heavy Duty Kit Type-B,MRO,1455.02,,SUP005,173.0,,23,5,STANDARD,Y
Sku-013,Premium Module XL,Industrial Equipment,1249.5,43.0,SUP003,163.03,,181,5,STANDARD,1
SKU 014,Heavy Duty Assembly Type-B,Packaging,322.45,22.0,SUP005,56.14,90.0,104,100,STANDARD,Y
SKU-015,Economy Bearing XL,MRO,276.83,41.0,SUP009,178.07,,400,5,STANDARD,Y
SKU016,Pro-Grade Module V3,MRO,279.19,39.0,SUP020,59.39,,449,10,PREMIUM,Y
sku_017,Heavy Duty Valve V3,Raw Materials,459.84,25.0,SUP021,81.42,90.0,237,50,STANDARD,Y
Sku-018,Premium Bearing V3,Electronics,789.51,45.0,SUP019,186.65,90.0,407,50,STANDARD,Y
SKU 019,Heavy Duty Kit XL,Cold Chain,650.76,35.0,SUP018,162.44,90.0,80,1,STANDARD,y
SKU-020,Economy Module V2,Raw Materials,440.39,3.0,SUP023,212.32,,269,100,STANDARD,Y
SKU021,Premium Module V3,Electronics,919.72,34.0,SUP011,164.44,,459,1,PREMIUM,Y
sku_022,Premium Bearing V2,Electronics,213.54,,SUP013,142.12,180.0,288,5,STANDARD,Y
Sku-023,Pro-Grade Pump V2,Electronics,441.76,43.0,SUP020,23.51,730.0,210,1,STANDARD,Y
